,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
1,NC_011916.1,gene,1,182,-,ncRNA,ccnA,CCNA_R0094,NA,NA
4,NC_011916.1,gene,202,1107,+,protein_coding,CCNA_00001,CCNA_00001,NA,pyruvate%2C phosphate dikinase regulatory protein
6,NC_011916.1,gene,1104,1703,+,protein_coding,CCNA_00002,CCNA_00002,NA,Maf-family nucleoside triphosphate pyrophosphatase
8,NC_011916.1,gene,1700,2557,+,protein_coding,CCNA_00003,CCNA_00003,NA,shikimate 5-dehydrogenase
10,NC_011916.1,gene,2559,3158,+,protein_coding,CCNA_00004,CCNA_00004,NA,dephospho-CoA kinase
12,NC_011916.1,gene,3190,3903,+,protein_coding,dnaQ,CCNA_00005,NA,DNA polymerase III%2C epsilon chain
14,NC_011916.1,gene,4022,4810,+,protein_coding,CCNA_00006,CCNA_00006,NA,enoyl-CoA hydratase/isomerase
16,NC_011916.1,gene,4292,4950,-,ncRNA,CCNA_R0095,CCNA_R0095,NA,NA
19,NC_011916.1,gene,4960,5235,+,protein_coding,CCNA_00007,CCNA_00007,NA,SSU ribosomal protein S20P
21,NC_011916.1,gene,5636,7108,+,protein_coding,dnaA,CCNA_00008,NA,chromosome replication initiator protein DnaA
23,NC_011916.1,gene,7170,7790,-,protein_coding,alkB,CCNA_00009,NA,alkylated DNA repair protein AlkB
25,NC_011916.1,gene,8165,10060,+,protein_coding,dnaK,CCNA_00010,NA,chaperone protein DnaK
27,NC_011916.1,gene,10223,11380,+,protein_coding,dnaJ,CCNA_00011,NA,chaperone protein DnaJ
29,NC_011916.1,gene,11467,14178,+,protein_coding,mutS,CCNA_00012,NA,DNA mismatch repair protein MutS
31,NC_011916.1,gene,13417,13499,+,ncRNA,CCNA_R0096,CCNA_R0096,NA,NA
34,NC_011916.1,gene,14199,17021,+,protein_coding,glnD,CCNA_00013,NA,protein-PII uridylyltransferase
36,NC_011916.1,gene,17018,17494,-,protein_coding,moaC,CCNA_00014,NA,molybdenum cofactor biosynthesis protein C
38,NC_011916.1,gene,17491,18042,-,protein_coding,moaB,CCNA_00015,NA,molybdenum cofactor biosynthesis protein B
40,NC_011916.1,gene,18043,18495,-,protein_coding,moaE,CCNA_00016,NA,molybdopterin converting factor%2C large subunit
