,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
1,NC_003317.1,gene,192,1217,+,protein_coding,BME_RS00005,BME_RS00005,BMEI0001,uroporphyrinogen decarboxylase
3,NC_003317.1,gene,1214,1750,+,protein_coding,BME_RS00010,BME_RS00010,BMEI0002,protoporphyrinogen oxidase HemJ
5,NC_003317.1,gene,2141,3397,+,protein_coding,BME_RS00020,BME_RS00020,BMEI0003,transcription termination factor Rho
7,NC_003317.1,pseudogene,3482,5411,-,pseudogene,BME_RS00025,BME_RS00025,NA,hypothetical protein
9,NC_003317.1,gene,5526,6854,+,protein_coding,BME_RS00030,BME_RS00030,BMEI0006,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
11,NC_003317.1,gene,7081,8991,+,protein_coding,BME_RS00035,BME_RS00035,BMEI0007,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
13,NC_003317.1,gene,8988,9629,+,protein_coding,BME_RS00040,BME_RS00040,BMEI0008,ribosomal RNA small subunit methyltransferase G
15,NC_003317.1,gene,9682,10479,+,protein_coding,BME_RS00045,BME_RS00045,BMEI0009,ParA family protein
17,NC_003317.1,gene,10523,11404,+,protein_coding,BME_RS00050,BME_RS00050,BMEI0010,chromosome partitioning protein ParB
19,NC_003317.1,gene,11498,12541,-,protein_coding,BME_RS00055,BME_RS00055,BMEI0011,DNA polymerase III subunit delta
21,NC_003317.1,gene,12703,13497,-,protein_coding,BME_RS00060,BME_RS00060,BMEI0012,ABC transporter ATP-binding protein
23,NC_003317.1,gene,13494,14378,-,protein_coding,BME_RS00065,BME_RS00065,BMEI0013,ABC transporter permease
25,NC_003317.1,gene,14558,14818,+,protein_coding,BME_RS15785,BME_RS15785,BMEI0014,hypothetical protein
27,NC_003317.1,gene,15022,15987,-,protein_coding,BME_RS00070,BME_RS00070,BMEI0015,ABC transporter substrate-binding protein
29,NC_003317.1,gene,16050,16259,+,protein_coding,BME_RS00075,BME_RS00075,BMEI0016,hypothetical protein
31,NC_003317.1,gene,16256,17278,+,protein_coding,BME_RS00080,BME_RS00080,BMEI0017,flavin-dependent oxidoreductase
33,NC_003317.1,gene,17312,18481,-,protein_coding,BME_RS00085,BME_RS00085,BMEI0018,dihydrodipicolinate synthase family protein
35,NC_003317.1,gene,18732,19790,+,protein_coding,BME_RS00090,BME_RS00090,BMEI0019,LacI family DNA-binding transcriptional regulator
37,NC_003317.1,gene,19769,20770,+,protein_coding,BME_RS00095,BME_RS00095,BMEI0020,gfo/Idh/MocA family oxidoreductase
39,NC_003317.1,gene,20776,22266,+,protein_coding,BME_RS00100,BME_RS00100,BMEI0021,acyl CoA:acetate/3-ketoacid CoA transferase
41,NC_003317.1,pseudogene,22268,23045,+,pseudogene,BME_RS00105,BME_RS00105,NA,enoyl-CoA hydratase
