,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
1,NC_007795.1,gene,517,1878,+,protein_coding,dnaA,SAOUHSC_00001,NA,chromosomal replication initiation protein
3,NC_007795.1,gene,2156,3289,+,protein_coding,SAOUHSC_00002,SAOUHSC_00002,NA,DNA polymerase III subunit beta
5,NC_007795.1,gene,3670,3915,+,protein_coding,SAOUHSC_00003,SAOUHSC_00003,NA,hypothetical protein
7,NC_007795.1,gene,3912,5024,+,protein_coding,recF,SAOUHSC_00004,NA,recombination protein F
9,NC_007795.1,gene,5034,6968,+,protein_coding,SAOUHSC_00005,SAOUHSC_00005,NA,DNA gyrase subunit B
11,NC_007795.1,gene,7005,9668,+,protein_coding,SAOUHSC_00006,SAOUHSC_00006,NA,DNA gyrase subunit A
13,NC_007795.1,gene,9755,10456,-,protein_coding,SAOUHSC_00007,SAOUHSC_00007,NA,hypothetical protein
15,NC_007795.1,gene,10893,12407,+,protein_coding,SAOUHSC_00008,SAOUHSC_00008,NA,histidine ammonia-lyase
17,NC_007795.1,gene,12786,14072,+,protein_coding,SAOUHSC_00009,SAOUHSC_00009,NA,seryl-tRNA synthetase
19,NC_007795.1,gene,14722,15417,+,protein_coding,SAOUHSC_00010,SAOUHSC_00010,NA,hypothetical protein
21,NC_007795.1,gene,15414,15743,+,protein_coding,SAOUHSC_00012,SAOUHSC_00012,NA,hypothetical protein
23,NC_007795.1,gene,16106,17074,+,protein_coding,SAOUHSC_00013,SAOUHSC_00013,NA,hypothetical protein
25,NC_007795.1,gene,17365,18303,+,protein_coding,SAOUHSC_00014,SAOUHSC_00014,NA,hypothetical protein
27,NC_007795.1,gene,18318,20285,+,protein_coding,SAOUHSC_00015,SAOUHSC_00015,NA,hypothetical protein
29,NC_007795.1,gene,20282,20734,+,protein_coding,rplI,SAOUHSC_00017,NA,50S ribosomal protein L9
31,NC_007795.1,gene,20766,22166,+,protein_coding,SAOUHSC_00018,SAOUHSC_00018,NA,replicative DNA helicase
33,NC_007795.1,gene,22444,23727,+,protein_coding,SAOUHSC_00019,SAOUHSC_00019,NA,adenylosuccinate synthetase
35,NC_007795.1,gene,24157,24231,+,tRNA,SAOUHSC_T00018,SAOUHSC_T00018,NA,NA
38,NC_007795.1,gene,24239,24311,+,tRNA,SAOUHSC_T00011,SAOUHSC_T00011,NA,NA
41,NC_007795.1,gene,24931,25632,+,protein_coding,SAOUHSC_00020,SAOUHSC_00020,NA,two-component response regulator
43,NC_007795.1,gene,25645,27471,+,protein_coding,SAOUHSC_00021,SAOUHSC_00021,NA,sensory box histidine kinase VicK
45,NC_007795.1,gene,27515,28798,+,protein_coding,SAOUHSC_00022,SAOUHSC_00022,NA,hypothetical protein
47,NC_007795.1,gene,28799,29587,+,protein_coding,SAOUHSC_00023,SAOUHSC_00023,NA,hypothetical protein
49,NC_007795.1,gene,29977,30777,+,protein_coding,SAOUHSC_00024,SAOUHSC_00024,NA,hypothetical protein
51,NC_007795.1,gene,31005,33323,+,protein_coding,SAOUHSC_00025,SAOUHSC_00025,NA,hypothetical protein
53,NC_007795.1,gene,33555,34034,-,protein_coding,SAOUHSC_00026,SAOUHSC_00026,NA,hypothetical protein
55,NC_007795.1,gene,33691,34170,+,protein_coding,SAOUHSC_00027,SAOUHSC_00027,NA,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
57,NC_007795.1,gene,34375,34509,-,protein_coding,SAOUHSC_00028,SAOUHSC_00028,NA,hypothetical protein
59,NC_007795.1,gene,34473,34565,+,protein_coding,SAOUHSC_00029,SAOUHSC_00029,NA,hypothetical protein
61,NC_007795.1,gene,34712,36457,+,protein_coding,SAOUHSC_00030,SAOUHSC_00030,NA,hypothetical protein
63,NC_007795.1,gene,36551,37003,-,protein_coding,SAOUHSC_00031,SAOUHSC_00031,NA,hypothetical protein
65,NC_007795.1,gene,37019,37120,-,protein_coding,SAOUHSC_00032,SAOUHSC_00032,NA,hypothetical protein
67,NC_007795.1,gene,37218,37973,-,protein_coding,SAOUHSC_00033,SAOUHSC_00033,NA,hypothetical protein
69,NC_007795.1,gene,37973,38233,-,protein_coding,SAOUHSC_00034,SAOUHSC_00034,NA,hypothetical protein
71,NC_007795.1,gene,38370,39437,+,protein_coding,SAOUHSC_00035,SAOUHSC_00035,NA,hypothetical protein
73,NC_007795.1,gene,39468,40802,+,protein_coding,SAOUHSC_00036,SAOUHSC_00036,NA,hypothetical protein
75,NC_007795.1,gene,40821,42014,+,protein_coding,SAOUHSC_00037,SAOUHSC_00037,NA,hypothetical protein
77,NC_007795.1,gene,42281,42382,-,protein_coding,SAOUHSC_00038,SAOUHSC_00038,NA,hypothetical protein
79,NC_007795.1,gene,42681,43613,-,protein_coding,SAOUHSC_00039,SAOUHSC_00039,NA,hypothetical protein
81,NC_007795.1,gene,43976,44179,+,protein_coding,SAOUHSC_00040,SAOUHSC_00040,NA,hypothetical protein
83,NC_007795.1,gene,44228,44524,+,protein_coding,SAOUHSC_00041,SAOUHSC_00041,NA,hypothetical protein
85,NC_007795.1,gene,44596,45816,-,protein_coding,SAOUHSC_00042,SAOUHSC_00042,NA,hypothetical protein
87,NC_007795.1,gene,45809,46360,-,protein_coding,SAOUHSC_00043,SAOUHSC_00043,NA,hypothetical protein
89,NC_007795.1,gene,46473,47333,+,protein_coding,SAOUHSC_00044,SAOUHSC_00044,NA,hypothetical protein
91,NC_007795.1,gene,47689,48222,-,protein_coding,SAOUHSC_00045,SAOUHSC_00045,NA,hypothetical protein
93,NC_007795.1,gene,48313,49056,+,protein_coding,SAOUHSC_00046,SAOUHSC_00046,NA,hypothetical protein
95,NC_007795.1,gene,49490,50092,+,protein_coding,SAOUHSC_00047,SAOUHSC_00047,NA,hypothetical protein
97,NC_007795.1,gene,50359,53511,+,protein_coding,SAOUHSC_00049,SAOUHSC_00049,NA,hypothetical protein
99,NC_007795.1,gene,53568,54050,+,protein_coding,SAOUHSC_00050,SAOUHSC_00050,NA,hypothetical protein
101,NC_007795.1,gene,54255,55241,+,protein_coding,SAOUHSC_00051,SAOUHSC_00051,NA,1-phosphatidylinositol phosphodiesterase
