,seqname,feature,start,end,strand,gene_biotype,Name,locus_tag,old_locus_tag,product
1,NC_007618.1,gene,634,2274,+,protein_coding,BAB_RS10420,BAB_RS10420,BAB1_0001,chromosomal replication initiator protein DnaA
3,NC_007618.1,gene,2578,3696,+,protein_coding,BAB_RS10425,BAB_RS10425,BAB1_0002,DNA polymerase III subunit beta
5,NC_007618.1,gene,3878,5032,+,protein_coding,BAB_RS10435,BAB_RS10435,BAB1_0003,DNA replication and repair protein RecF
7,NC_007618.1,gene,5070,5852,+,protein_coding,BAB_RS15955,BAB_RS15955,BAB1_0004,molybdopterin-synthase adenylyltransferase MoeB
9,NC_007618.1,gene,5869,6825,-,protein_coding,BAB_RS15960,BAB_RS15960,BAB1_0005,glyoxylate/hydroxypyruvate reductase A
11,NC_007618.1,gene,6822,8447,-,protein_coding,BAB_RS15965,BAB_RS15965,BAB1_0006,ABC transporter ATP-binding protein
13,NC_007618.1,gene,8471,9610,-,protein_coding,BAB_RS15970,BAB_RS15970,BAB1_0007,ABC transporter permease
15,NC_007618.1,gene,9610,10707,-,protein_coding,BAB_RS15975,BAB_RS15975,BAB1_0008,microcin C ABC transporter permease YejB
17,NC_007618.1,gene,10819,12666,-,protein_coding,BAB_RS15980,BAB_RS15980,BAB1_0009,ABC transporter substrate-binding protein
19,NC_007618.1,gene,12680,14548,-,protein_coding,BAB_RS15985,BAB_RS15985,BAB1_0010,ABC transporter substrate-binding protein
21,NC_007618.1,gene,14779,15102,-,protein_coding,BAB_RS31925,BAB_RS31925,BAB1_0011,hypothetical protein
23,NC_007618.1,gene,15148,15348,-,protein_coding,BAB_RS15990,BAB_RS15990,BAB1_0012,hypothetical protein
25,NC_007618.1,gene,15388,15738,-,protein_coding,BAB_RS15995,BAB_RS15995,BAB1_0013,hypothetical protein
27,NC_007618.1,gene,16003,17157,-,protein_coding,BAB_RS16000,BAB_RS16000,NA,branched-chain amino acid ABC transporter substrate-binding protein
29,NC_007618.1,gene,17380,17580,+,protein_coding,BAB_RS31930,BAB_RS31930,BAB1_0015,hypothetical protein
31,NC_007618.1,gene,17577,18371,-,protein_coding,BAB_RS16005,BAB_RS16005,BAB1_0016,enoyl-CoA hydratase
33,NC_007618.1,gene,18368,19231,-,protein_coding,BAB_RS16010,BAB_RS16010,BAB1_0017,hydroxymethylglutaryl-CoA lyase
35,NC_007618.1,gene,19224,21245,-,protein_coding,BAB_RS16015,BAB_RS16015,BAB1_0018,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
37,NC_007618.1,gene,21257,22864,-,protein_coding,BAB_RS16020,BAB_RS16020,BAB1_0019,methylcrotonoyl-CoA carboxylase
39,NC_007618.1,pseudogene,22864,23598,-,pseudogene,BAB_RS16025,BAB_RS16025,NA,acyl-CoA dehydrogenase
41,NC_007618.1,pseudogene,23595,24356,-,pseudogene,BAB_RS16030,BAB_RS16030,NA,acyltransferase
43,NC_007618.1,gene,24578,24653,-,tRNA,BAB_RS16035,BAB_RS16035,BAB1_2187,NA
46,NC_007618.1,gene,24879,25262,-,protein_coding,BAB_RS16040,BAB_RS16040,BAB1_0022,TIGR02300 family protein
48,NC_007618.1,gene,25647,26999,+,protein_coding,BAB_RS16045,BAB_RS16045,BAB1_0023,3-phosphoshikimate 1-carboxyvinyltransferase
50,NC_007618.1,gene,26996,27655,+,protein_coding,BAB_RS16050,BAB_RS16050,BAB1_0024,cytidylate kinase
52,NC_007618.1,gene,27688,27936,-,protein_coding,BAB_RS31935,BAB_RS31935,NA,hypothetical protein
